epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.1199,1.69759,2.49995,1.86769,0.7763,0.33202,0.49904,0.20257,1.94095,3.46951,2.41988,0.000552597,0.000552597,0.000552597
2,79.1885,1.7199,1.98442,1.82829,0.56215,0.58409,0.57858,0.24938,2.09506,2.39311,2.49093,0.00109912,0.00109912,0.00109912
3,114.614,1.7198,1.72694,1.80627,0.71563,0.82548,0.81915,0.37458,1.8936,1.2482,2.26008,0.00163648,0.00163648,0.00163648
4,149.444,1.71809,1.64706,1.7969,0.73959,0.71064,0.77833,0.36541,1.84535,1.29407,2.28239,0.00162574,0.00162574,0.00162574
5,184.405,1.68481,1.57884,1.76667,0.73712,0.7607,0.84622,0.42615,1.83014,1.47023,2.16806,0.00161199,0.00161199,0.00161199
6,219.253,1.65026,1.49047,1.7461,0.88623,0.81044,0.89778,0.46824,1.629,1.08379,2.0392,0.00159824,0.00159824,0.00159824
7,254.265,1.62971,1.4344,1.72209,0.85987,0.83734,0.92339,0.47601,1.72392,1.06976,2.11832,0.00158448,0.00158448,0.00158448
8,289.4,1.59901,1.41174,1.70938,0.89045,0.88322,0.94438,0.50484,1.59954,0.88835,1.99626,0.00157073,0.00157073,0.00157073
9,324.391,1.59251,1.38583,1.69299,0.87927,0.90376,0.94716,0.52512,1.58997,0.93133,1.96507,0.00155698,0.00155698,0.00155698
10,359.301,1.57325,1.32887,1.6818,0.87298,0.92329,0.94998,0.50479,1.77393,0.96024,2.09937,0.00154323,0.00154323,0.00154323
11,394.168,1.55429,1.31373,1.66204,0.77769,0.81915,0.90871,0.48352,1.63142,0.96591,2.01402,0.00152947,0.00152947,0.00152947
12,429.034,1.53941,1.26983,1.64992,0.89344,0.91249,0.94693,0.54817,1.50797,0.77914,1.88874,0.00151572,0.00151572,0.00151572
13,464.025,1.5323,1.25946,1.64556,0.90479,0.95141,0.97446,0.4959,1.73805,0.7535,2.09513,0.00150197,0.00150197,0.00150197
14,498.718,1.51763,1.2325,1.63969,0.8818,0.92178,0.95055,0.52257,1.62635,0.82931,1.99329,0.00148821,0.00148821,0.00148821
15,533.232,1.50807,1.22986,1.62782,0.96316,0.88771,0.96476,0.50269,1.71147,0.7345,2.07951,0.00147446,0.00147446,0.00147446
16,567.767,1.49225,1.19266,1.6149,0.90183,0.91483,0.96581,0.50661,1.63768,0.78059,2.01013,0.00146071,0.00146071,0.00146071
17,602.111,1.47793,1.18205,1.61897,0.97137,0.92514,0.98505,0.53794,1.74585,0.67146,2.20911,0.00144696,0.00144696,0.00144696
18,636.558,1.46796,1.18129,1.60687,0.90762,0.93561,0.97025,0.52304,1.53674,0.74525,1.93146,0.0014332,0.0014332,0.0014332
19,671.208,1.45515,1.15102,1.58704,0.9153,0.95096,0.97304,0.51834,1.62581,0.66244,2.0174,0.00141945,0.00141945,0.00141945
20,706.214,1.44406,1.12863,1.58603,0.93322,0.94679,0.96889,0.53234,1.66482,0.6464,2.05065,0.0014057,0.0014057,0.0014057
21,740.887,1.4423,1.10985,1.58193,0.9323,0.95677,0.97651,0.55001,1.49335,0.62962,1.90527,0.00139195,0.00139195,0.00139195
22,775.533,1.43211,1.12592,1.58395,0.91608,0.94293,0.97847,0.54411,1.67215,0.68368,2.0362,0.00137819,0.00137819,0.00137819
23,810.278,1.43831,1.10783,1.58587,0.95796,0.93737,0.97449,0.53573,1.68207,0.72258,2.05597,0.00136444,0.00136444,0.00136444
24,844.683,1.43379,1.09001,1.57723,0.84324,0.87894,0.94271,0.52257,1.62146,1.02208,2.01926,0.00135069,0.00135069,0.00135069
25,879.169,1.43327,1.08905,1.57469,0.95275,0.92973,0.97844,0.54296,1.5744,0.62367,1.95959,0.00133693,0.00133693,0.00133693
26,913.707,1.42667,1.06283,1.5725,0.96895,0.97166,0.97239,0.55901,1.62245,0.59304,2.04937,0.00132318,0.00132318,0.00132318
27,948.318,1.39658,1.053,1.54867,0.97442,0.97557,0.99087,0.56053,1.6164,0.57897,2.02,0.00130943,0.00130943,0.00130943
28,982.911,1.40698,1.04689,1.56642,0.97912,0.95313,0.96969,0.54061,1.62297,0.64103,1.99963,0.00129568,0.00129568,0.00129568
29,1017.52,1.40635,1.04182,1.55668,0.94739,0.97626,0.98225,0.54833,1.6107,0.6055,1.96553,0.00128192,0.00128192,0.00128192
30,1051.98,1.40506,1.03611,1.5528,0.96419,0.97089,0.99006,0.54278,1.62943,0.59979,2.00601,0.00126817,0.00126817,0.00126817
